[00:00.000 --> 00:01.960]  What's up, cannabis community?
[01:42.900 --> 01:48.860]  For more information about Highly Educated products, visit highlyeducatedti.com.
[01:48.860 --> 01:52.740]  Or if you just want to buy something right now, check out aqualabtechnologies.com.
[01:53.740 --> 01:57.780]  This podcast is also brought to you by naturesgreenremedies.com.
[01:57.780 --> 02:04.100]  Visit naturesgreenremedies.com for Gage Green Genetics, Laplata Labs, Sin City, Rare Dankness,
[02:04.100 --> 02:10.940]  Mile High, Canaventure, Alphachronic, B.O.G., MTV, I said MTV, it's MTG, The Cali Connection,
[02:10.940 --> 02:14.500]  Irie Genetics, and many more trusted brands.
[02:14.500 --> 02:17.980]  Nature's Green Remedies is running a special for our podcast listeners.
[02:17.980 --> 02:19.780]  As they change, they've got a new coupon code.
[02:19.780 --> 02:20.780]  Check this out.
[02:20.780 --> 02:21.780]  Do me a favor.
[02:21.820 --> 02:23.900]  Go to naturesgreenremedies.com to buy your beans.
[02:23.900 --> 02:25.980]  Type in coupon code HELPINGHANDS.
[02:25.980 --> 02:26.980]  It's two words.
[02:26.980 --> 02:27.980]  HELPINGHANDS.
[02:27.980 --> 02:31.660]  And when you use that coupon code, you'll get 13% off your order.
[02:31.660 --> 02:34.420]  And what that's going to do, they're going to send a percentage of your order.
[02:34.420 --> 02:35.420]  Let me make sure how much.
[02:35.420 --> 02:36.420]  I don't want to lie to you.
[02:36.420 --> 02:37.420]  I've got the message right here.
[02:37.420 --> 02:39.500]  Scrolling through for the message.
[02:39.500 --> 02:42.140]  It says that you will get...
[02:42.140 --> 02:46.460]  What this is going to do, they're going to send a portion of their proceeds to a homeless
[02:46.460 --> 02:52.580]  shelter in the area where Nature's Green Remedies is located.
[02:52.580 --> 02:55.180]  What it says is, it's to help a homeless shelter in my area.
[02:55.180 --> 02:57.480]  Three bucks from every order goes to help.
[02:57.480 --> 03:02.140]  So if you want to help out a homeless shelter, keep some folks warm for the winter, use coupon
[03:02.140 --> 03:07.800]  code HELPINGHANDS, and you'll get 13% off, and you will actually be helping somebody.
[03:07.800 --> 03:11.500]  So use that coupon code at naturesgreenremedies.com.
[03:11.500 --> 03:12.500]  I lost my rhythm.
[03:12.500 --> 03:13.540]  Don't know where I was in that read.
[03:13.540 --> 03:14.900]  So let's move on to the next one.
[03:14.900 --> 03:18.180]  This podcast is brought to you by Hygro Indoor Growing Supplies.
[03:18.180 --> 03:22.140]  Hygro Indoor Growing Supplies has two locations to serve Colorado.
[03:22.140 --> 03:27.900]  Visit the Denver store at 6271 Beach Street or stop by the Pueblo location at 618 East
[03:27.900 --> 03:30.140]  4th Street in Pueblo, Colorado.
[03:30.140 --> 03:34.260]  Check out Hygro for competitive pricing and a great selection of indoor growing supplies.
[03:34.260 --> 03:35.940]  Guys, I shop at Hygro.
[03:35.940 --> 03:38.060]  I wouldn't advertise something that I don't trust in.
[03:38.060 --> 03:41.420]  Speaking of not advertising something I don't trust in, I'm talking about this highly educated
[03:41.420 --> 03:42.420]  nail.
[03:42.420 --> 03:43.420]  I deserve a dab.
[03:43.420 --> 03:45.860]  So grab a dab with me and hopefully by the time I get done with that, our good friend
[03:45.860 --> 03:49.100]  Jessie will be here to talk about drying and curing your cannabis.
[03:49.100 --> 03:52.820]  All right, guys, I'm back after a couple of tremendous dabs.
[03:52.820 --> 03:54.020]  Forgot to do a couple things.
[03:54.020 --> 03:58.740]  I want to give a huge shout out to Joey Coco Diaz and also my good friend Clint.
[03:58.740 --> 04:02.700]  Clint and I went up to Denver to the Denver Improv on Thursday night, and we saw Joey
[04:02.700 --> 04:05.580]  Coco Diaz do an amazing set of comedy.
[04:05.580 --> 04:07.260]  Joey's one of my favorite comedians.
[04:07.260 --> 04:11.400]  He freaking crushed the Denver Improv, and it was awesome.
[04:11.400 --> 04:13.560]  After the show, he took a few minutes to hang out with Clint and I.
[04:13.560 --> 04:17.800]  Well, he hung out with everybody, but then Clint said something to him that got his attention,
[04:17.800 --> 04:20.560]  so he hung out with Clint and I for quite a while and bullshitted one on one.
[04:20.560 --> 04:25.560]  When he was walking away, he patted me on the shoulder, and he said, Ross the Jeff,
[04:25.560 --> 04:28.000]  you know I love you, right, cocksucker?
[04:28.000 --> 04:31.120]  For Joey Diaz to call you a cocksucker is actually an honor.
[04:31.120 --> 04:32.680]  So it was great, and I had a good time.
[04:32.680 --> 04:34.080]  So big shout out to Joey Diaz.
[04:34.080 --> 04:35.360]  Thanks for the great and amazing show.
[04:35.360 --> 04:37.360]  Thanks for hanging out with me for an hour after the show.
[04:37.360 --> 04:38.920]  Hey, Clint, thanks for going with me, dude.
[04:38.920 --> 04:40.040]  That was a good time.
[04:40.040 --> 04:42.360]  We need to go to more comedy shows together.
[04:42.360 --> 04:44.320]  Also make sure you check out the Wild Cousins.
[04:44.320 --> 04:47.760]  That's Clint's comedy group that he is a part of.
[04:47.760 --> 04:52.440]  So if you are a listener, a regular listener, you'll remember that around episode 30, I
[04:52.440 --> 04:57.040]  said that I would start paying a dollar every time I say the F word because I'm trying to
[04:57.040 --> 04:59.680]  not say the F word on the podcast.
[04:59.680 --> 05:04.120]  I need somebody to go back and listen from episode 30 to 34 and let me know how many
[05:04.120 --> 05:05.520]  dollars I owe.
[05:05.520 --> 05:09.000]  There's a sick child in need, and I had a conversation with one of his parents.
[05:09.000 --> 05:10.680]  I think it was his uncle.
[05:10.680 --> 05:13.440]  And I said that I would help them out when the time came up.
[05:13.440 --> 05:15.800]  And so this is my obligation to them.
[05:15.800 --> 05:20.440]  I know it's only a dollar, but what I'm going to do now, starting on episode 35, every time
[05:20.440 --> 05:23.360]  I say the F word, it costs me $5.
[05:23.360 --> 05:28.400]  I will donate $5 to this sick kid, this sick child, and try to help out their life a little
[05:28.400 --> 05:29.400]  bit.
[05:29.400 --> 05:33.680]  What I'll need though, I need somebody to tweet me or email me or let me know when I'm
[05:33.680 --> 05:34.680]  doing it.
[05:34.680 --> 05:38.080]  So the way you can do that, you can tweet me at igrowculture.
[05:38.080 --> 05:41.080]  You can email me, igrowculture at hotmail.com.
[05:41.080 --> 05:43.200]  You can Facebook me.
[05:43.200 --> 05:44.200]  It's just igrowculture.
[05:44.200 --> 05:47.000]  And just let me know how many times I'm saying this.
[05:47.000 --> 05:49.760]  And from 30 to 34, it's $1.
[05:49.760 --> 05:52.520]  From 35 on, it's going to be $5.
[05:52.520 --> 05:54.080]  And it does not count to the guests.
[05:54.080 --> 05:56.680]  The guests can come and they can say whatever they want.
[05:56.680 --> 05:59.720]  So somebody start tallying it up for me and send me a bill.
[05:59.720 --> 06:04.440]  I'm going to contact these people once I've got a total, and then I will let them know
[06:04.440 --> 06:05.440]  that I want to do this.
[06:05.440 --> 06:07.400]  And if they accept the donation, I'll send it to them.
[06:07.400 --> 06:12.360]  And also if they are willing or if they want me to reveal their identity, I will.
[06:12.360 --> 06:14.760]  And that way you guys can see who I'm helping out.
[06:14.760 --> 06:17.440]  All right, I got one more ad to do.
[06:17.440 --> 06:20.200]  This podcast is brought to you by our friends at TreeThugger.com.
[06:20.200 --> 06:25.160]  TreeThugger.com, live music lifestyle magazine for concert, festival, news, and reviews.
[06:25.160 --> 06:26.160]  Check out TreeThugger.com.
[06:26.160 --> 06:30.800]  I'm going to send a personal shout out to Ryan from Tree Thugger.
[06:30.800 --> 06:33.200]  Dude, I see what you're doing with yourself and I'm proud of you, man.
[06:33.200 --> 06:35.360]  I wish you the best.
[06:35.360 --> 06:38.000]  You guys, I am still looking for that theme song.
[06:38.000 --> 06:43.040]  If anybody has made a theme song for me, please shoot it to me and send it to me at igrowcultureathotmail.com.
[06:43.040 --> 06:47.080]  If you just want to send an instrumental, I can do all the voiceovers and say the name
[06:47.080 --> 06:48.400]  of the show and all that stuff.
[06:48.400 --> 06:50.960]  I would appreciate it and I'd definitely make it worth your time.
[06:50.960 --> 06:54.400]  You guys, I'm going to take a couple more dabs and when I get back, we'll do a lesson
[06:54.400 --> 06:56.120]  on drying and curing your cannabis.
[06:56.120 --> 07:00.520]  I just got a text message and it's Jesse and he says he will be here in five minutes.
[07:00.520 --> 07:01.520]  Hang on, you guys.
[07:01.520 --> 07:03.440]  All right, what's up, ladies and gentlemen?
[07:03.520 --> 07:05.040]  Guess who finally decided to show up?
[07:05.040 --> 07:06.560]  Our good buddy Jesse Grose is back.
[07:06.560 --> 07:07.560]  How are you doing tonight, bro?
[07:07.560 --> 07:08.560]  Pretty good.
[07:08.560 --> 07:09.560]  Fashionably late.
[07:09.560 --> 07:10.560]  Fashionably late.
[07:10.560 --> 07:11.560]  You got a lot of fashion in you.
[07:11.560 --> 07:12.560]  Tons of it.
[07:12.560 --> 07:13.560]  No worries, bro.
[07:13.560 --> 07:16.200]  I was just chilling out, putting together a really nice episode.
[07:16.200 --> 07:19.680]  The people have been asking for the dry and cure episode.
[07:19.680 --> 07:22.600]  I think they will be proud of what we bring them today.
[07:22.600 --> 07:23.600]  Awesome.
[07:23.600 --> 07:27.280]  Jesse actually said that he could use a little, what is it, a primer lesson?
[07:27.280 --> 07:28.280]  Is that what it's called?
[07:28.280 --> 07:29.280]  Yeah, sure.
[07:29.280 --> 07:30.280]  On how to cure some herbs?
[07:30.280 --> 07:33.640]  I've never been real happy with any of my cure jobs.
[07:33.640 --> 07:44.480]  I've been told they're great, but I feel like I have a lot of room for improvement there.
[07:44.480 --> 07:48.800]  Your standards on your own product are always higher than everybody else's, your own expectations.
[07:48.800 --> 07:49.800]  You know what I mean?
[07:49.800 --> 07:54.200]  I'm never satisfied with my herb or anything and everyone's like, that was amazing.
[07:54.200 --> 07:56.520]  Especially when I play music, I'm like, that could have been better.
[07:56.520 --> 07:58.920]  And they're like, no, dude, you nailed it.
[07:58.920 --> 08:03.680]  I can feel the same thing snowboarding as well.
[08:03.680 --> 08:08.040]  Me on a snowboard, it's like trying to put a telephone pole on a snowboard.
[08:08.040 --> 08:11.040]  It's just a lot of me rolling down a hill with my face.
[08:11.040 --> 08:13.480]  Oh man, I thought you snowboarded actually.
[08:13.480 --> 08:18.160]  I do, but I spend more time on the lift and on my ass than I do on the actual board.
[08:18.160 --> 08:19.600]  I can't do it anymore.
[08:19.600 --> 08:22.480]  The left knee disagrees with the snowboard now.
[08:22.480 --> 08:26.520]  It feels like my left knee wants to fly out of the socket the entire time I'm strapped
[08:26.520 --> 08:27.520]  in.
[08:27.520 --> 08:30.120]  I can't ski for a similar reason.
[08:30.120 --> 08:31.960]  They told me to move to skis.
[08:31.960 --> 08:33.760]  They said it wouldn't hurt as bad if I skied.
[08:33.760 --> 08:34.760]  Possibly.
[08:34.760 --> 08:35.760]  Maybe I'll try that this winter.
[08:35.760 --> 08:36.760]  Case to case.
[08:36.760 --> 08:37.760]  My snowboard friends have moved away.
[08:37.760 --> 08:38.760]  Miss you guys.
[08:38.760 --> 08:39.760]  Hope you're listening.
[08:39.760 --> 08:42.960]  So we're here to talk about curing herb, not talking about curing ourselves.
[08:42.960 --> 08:45.200]  Actually, I guess curing herb will cure ourselves.
[08:45.200 --> 08:47.840]  I'm talking into a circle because I'm really dabbed out.
[08:47.840 --> 08:48.840]  Really dabbed out.
[08:48.840 --> 08:49.840]  Really, yeah.
[08:49.840 --> 08:51.720]  We are setting a new record for dabbing.
[08:51.720 --> 08:55.760]  We burned out the e-mail, I think, and had to switch over to the regular rig.
[08:55.760 --> 08:58.600]  The e-mail couldn't keep up with the puddles we were putting on it, and I think it took
[08:58.600 --> 08:59.600]  a shit today.
[08:59.600 --> 09:00.600]  So hey, Giddy Up.
[09:00.600 --> 09:01.600]  Remember what you're telling me?
[09:01.600 --> 09:02.880]  Shout out to Giddy Up.
[09:02.880 --> 09:04.560]  I ran into Giddy on Chat Roulette.
[09:04.560 --> 09:05.760]  That was amazing.
[09:05.760 --> 09:08.000]  And you said something about sending me a g-nail, homie.
[09:08.000 --> 09:12.180]  So don't forget, because my nail just took a shit, so that'd be great timing.
[09:12.180 --> 09:13.180]  We want to cure some weed.
[09:13.180 --> 09:14.180]  That's why everybody's listening.
[09:14.180 --> 09:15.600]  You doing good, bro, by the way?
[09:15.600 --> 09:17.120]  I just kind of skipped right over introducing you.
[09:17.120 --> 09:18.120]  For sure.
[09:18.120 --> 09:19.120]  You having a good day?
[09:19.120 --> 09:20.120]  You looked like you were working hard.
[09:20.120 --> 09:21.120]  Very, very hard.
[09:21.120 --> 09:22.120]  Take some dabs.
[09:22.120 --> 09:23.120]  Take a break.
[09:23.120 --> 09:24.120]  We'll record.
[09:24.120 --> 09:25.120]  It'll be awesome.
[09:25.480 --> 09:26.480]  So, let's talk about weed.
[09:26.480 --> 09:28.520]  You're going to need a few things.
[09:28.520 --> 09:30.080]  You should have a dehumidifier, maybe.
[09:30.080 --> 09:32.280]  You should have an air conditioner, maybe.
[09:32.280 --> 09:33.600]  You for sure need fans.
[09:33.600 --> 09:35.620]  At least one fan.
[09:35.620 --> 09:37.840]  You need what I call a hygrometer.
[09:37.840 --> 09:41.360]  That's a thermometer with a humidity reading on it, also.
[09:41.360 --> 09:43.360]  Then you're going to need some kind of jars.
[09:43.360 --> 09:44.840]  I prefer glass mason jars.
[09:44.840 --> 09:49.360]  If you're going a little bigger, there's a company, I think it's called Quick Vac.
[09:49.360 --> 09:51.120]  They're little suction vac lid jars.
[09:51.120 --> 09:52.480]  They sell them at most of the head shops.
[09:52.480 --> 09:53.680]  Those are pretty chill to cure your weed in.
[09:53.680 --> 09:56.000]  A lot of people don't like them because those are plastic.
[09:56.000 --> 09:58.400]  I don't think they leave any taste or smell.
[09:58.400 --> 09:59.400]  Those don't.
[09:59.400 --> 10:03.800]  If you're going bigger, I like to buy those Rubbermaid 32 quart containers.
[10:03.800 --> 10:04.800]  I think that's what it is.
[10:04.800 --> 10:05.800]  It's a big container.
[10:05.800 --> 10:08.800]  It's like a two-handed container.
[10:08.800 --> 10:10.960]  You could fit a lot of herb in one of those to cure it.
[10:10.960 --> 10:11.960]  Those work perfectly.
[10:11.960 --> 10:16.720]  So, you're going to need something to cure it in and a room to get it started to cure
[10:16.720 --> 10:17.720]  in.
[10:18.720 --> 10:24.480]  Ed Rosenthal actually taught me that curing begins at the start of harvest.
[10:24.480 --> 10:30.320]  I'm not sure how much I subscribe to Ed's teaching, but in a sense, that is accurate.
[10:30.320 --> 10:33.000]  The minute you cut down that plant, you're starting the curing process.
[10:33.000 --> 10:39.520]  You need that herb to dry uniformly, not too fast, not too slow.
[10:39.520 --> 10:40.760]  You don't want it in a hot room.
[10:40.760 --> 10:43.760]  You don't want it in a cool room.
[10:43.760 --> 10:47.560]  We're going to go from ... In one of our lessons before, we talked about harvest and
[10:47.800 --> 10:48.800]  drying.
[10:48.800 --> 10:52.680]  We ended drying as when where the sticks on your buds snap.
[10:52.680 --> 10:55.560]  That's pretty much where we decided we were entering cure.
[10:55.560 --> 11:00.600]  So if you've done everything right, you've got all your leaves off, your buds have dried
[11:00.600 --> 11:04.320]  evenly in a nice room that was temperature controlled, not too fast, not too cool, and
[11:04.320 --> 11:09.120]  now the sticks are snapping and the buds are a little bit damp, a little bit juicy.
[11:09.120 --> 11:12.560]  If you squeeze them, they kind of stick to your fingers, but they kind of spring back
[11:12.560 --> 11:13.560]  to life.
[11:13.560 --> 11:16.240]  You don't crush them when you squeeze them.
[11:16.240 --> 11:18.160]  You want them to have a little spring left into them.
[11:18.160 --> 11:19.160]  For sure.
[11:19.160 --> 11:20.160]  All right.
[11:20.160 --> 11:25.880]  So I guess I should really ... And don't be deceived by the crunchy layer.
[11:25.880 --> 11:30.080]  I guess it goes strain to strain, but sometimes there's a lot more leaf on the outside.
[11:30.080 --> 11:31.280]  Oh yeah.
[11:31.280 --> 11:39.720]  You know, you could get tricked either way by letting it over dry and also by thinking
[11:39.720 --> 11:41.480]  it's dry too soon.
[11:41.480 --> 11:42.480]  Right.
[11:42.480 --> 11:45.920]  So the weed dries from the outside or from the outside in.
[11:45.920 --> 11:50.240]  So even though the outside leaves are crispy and dry, the inside could be really juicy
[11:50.240 --> 11:51.240]  still.
[11:51.240 --> 11:53.520]  So you got to be careful.
[11:53.520 --> 11:56.560]  Little buds are going to dry quicker than the big buds.
[11:56.560 --> 11:57.560]  Right.
[11:57.560 --> 11:58.560]  I feel that's a ...
[11:58.560 --> 12:02.960]  I like to cut, when I grow a big bud, I actually cut that all down into the little golf ball
[12:02.960 --> 12:03.960]  sized nuggets.
[12:03.960 --> 12:07.360]  If you're one of my patients, you usually get a bag full of golf balls is what I give
[12:07.360 --> 12:08.360]  you.
[12:08.360 --> 12:11.840]  I do when I'm doing the final trim.
[12:12.360 --> 12:19.760]  When they're hanging, the bigger buds are a little harder to break down sometimes.
[12:19.760 --> 12:20.760]  Nothing to do with them?
[12:20.760 --> 12:21.760]  Yeah.
[12:21.760 --> 12:22.760]  You don't want to put them on a rack?
[12:22.760 --> 12:23.760]  Yeah.
[12:23.760 --> 12:24.760]  You don't let them hang?
[12:24.760 --> 12:25.760]  Okay.
[12:25.760 --> 12:26.760]  Well, right before we're going to cure, this is when the sticks will pop.
[12:26.760 --> 12:27.760]  So everything's all trimmed up now.
[12:27.760 --> 12:29.000]  We don't have any leaves left.
[12:29.000 --> 12:30.160]  They look pretty.
[12:30.160 --> 12:32.040]  They're manicured the way you want.
[12:32.040 --> 12:35.160]  When you grab one of the buds, you pick it up and you bend the stick, it should snap.
[12:35.160 --> 12:36.800]  You don't want it to bend like a straw.
[12:36.800 --> 12:38.800]  You want it to actually break, pop.
[12:38.800 --> 12:41.600]  You don't want to leave it until it explodes and breaks because then you're a little too
[12:41.640 --> 12:42.640]  dry.
[12:42.640 --> 12:46.800]  Too dry or too wet of cannabis will not cure properly.
[12:46.800 --> 12:49.880]  If you're too dry, you've already missed your point.
[12:49.880 --> 12:50.880]  You're going to get stale buds.
[12:50.880 --> 12:53.000]  You're just going to put it in the jar and waste time.
[12:53.000 --> 12:57.880]  If you're too wet and you try to cure it, you're actually going to promote mold.
[12:57.880 --> 13:01.400]  So you want it about right where those sticks snap and that's when you're going to start
[13:01.400 --> 13:02.400]  the curing process.
[13:02.400 --> 13:08.240]  Let me read you what I wrote of what curing actually is and what the purpose of curing
[13:08.240 --> 13:09.240]  is.
[13:09.480 --> 13:12.040]  Just what I wrote down to give an actual reason.
[13:12.040 --> 13:18.120]  Curing is used to remove excess moisture to convert complex carbs back into sugars while
[13:18.120 --> 13:20.360]  removing chlorophyll.
[13:20.360 --> 13:24.600]  Chlorophyll is green pigment and chlorophyll makes your buds taste harsh and smell bad
[13:24.600 --> 13:26.400]  and it also makes your buds burn poorly.
[13:26.400 --> 13:30.560]  Have you guys ever smoked herb that kind of maybe tastes like you just stuck your tongue
[13:30.560 --> 13:35.180]  in a light socket and you just want to scrape your tongue off or you need a drink real bad?
[13:35.180 --> 13:37.700]  That stuff was not dried and cured properly.
[13:37.700 --> 13:41.980]  Probably not flushed properly either.
[13:41.980 --> 13:45.140]  Also as THC dries, the THC dries in your buds.
[13:45.140 --> 13:50.160]  If it dries more slowly, the more slower it loses its water moisture, the more psychoactive
[13:50.160 --> 13:51.380]  it will become.
[13:51.380 --> 13:55.460]  Once the water comes out of that THC, that's when it's ripe and nice and primed for you
[13:55.460 --> 13:56.500]  to smoke.
[13:56.500 --> 14:00.720]  So by curing it, you slowly let that happen and you don't destroy the THC, you don't destroy
[14:00.720 --> 14:02.740]  your terpenes.
[14:03.740 --> 14:08.820]  Essentially, curing allows aerobic bacteria to consume the chlorophyll in the plants.
[14:08.820 --> 14:11.860]  Chlorophyll is what we want to remove.
[14:11.860 --> 14:13.260]  Aerobic bacteria sounds like a bad thing.
[14:13.260 --> 14:15.700]  It's actually a good thing in this instance.
[14:15.700 --> 14:21.760]  Aerobic bacteria is made from air, light, and moisture being sealed inside of that jar.
[14:21.760 --> 14:28.300]  So what I do, I actually take my buds that snap, I fill my mason jar about 90% of the
[14:28.300 --> 14:29.300]  way full.
[14:29.300 --> 14:30.300]  I don't want to squish them in there.
[14:30.300 --> 14:31.740]  I just want to lightly set them in there.
[14:31.740 --> 14:34.820]  Then I seal that jar.
[14:34.820 --> 14:40.260]  As soon as that jar is sealed, the aerobic bacteria begins to form and that aerobic bacteria
[14:40.260 --> 14:44.140]  will start eating away the chlorophyll in there.
[14:44.140 --> 14:49.280]  So when you open that jar, that's when the reaction will restart.
[14:49.280 --> 14:54.500]  So what you want to do, what I do, is I put the buds in the jar, I seal it up, and then
[14:54.500 --> 14:56.420]  I wait about two hours.
[14:56.420 --> 14:58.580]  And then I go open the jar.
[14:58.660 --> 15:01.700]  And that first time I'll pour the buds out onto my little tray.
[15:01.700 --> 15:05.780]  And I want to feel the buds and make sure they haven't gotten really moist.
[15:05.780 --> 15:09.620]  If you can see sweat inside the jar, get them out of there immediately.
[15:09.620 --> 15:10.620]  You've fucked up.
[15:10.620 --> 15:11.620]  Get them out of there right away.
[15:11.620 --> 15:14.700]  So I take them out of the jar and I start squeezing them.
[15:14.700 --> 15:18.140]  And I want to feel a little bit of moisture at the edge because it's coming out of the
[15:18.140 --> 15:20.020]  middle on the surface.
[15:20.020 --> 15:23.620]  But I don't want them to be damp and sticky to where I'm afraid they're going to get mold.
[15:23.620 --> 15:25.060]  So I'll leave them out.
[15:25.060 --> 15:26.780]  This first time I dump them out and check them all out.
[15:26.780 --> 15:29.260]  I leave them sitting out for a couple minutes if I feel like they need it.
[15:29.260 --> 15:33.020]  Then I'll put them back in the jar and seal that jar up.
[15:33.020 --> 15:37.180]  If they're properly dry like I'm hoping they are at this point, I'll leave it closed for
[15:37.180 --> 15:38.340]  four hours this time.
[15:38.340 --> 15:43.500]  And I know this sounds tedious, but this is what separates the pros from the regular growers.
[15:43.500 --> 15:47.180]  This is where you get that super high-grade cured cannabis.
[15:47.180 --> 15:50.780]  That stuff you're getting at the dispensary that tastes kind of hay-like, and I don't
[15:50.780 --> 15:55.120]  mean to call out the shops, but they don't have time or space or manpower or the patience
[15:55.120 --> 15:56.740]  to cure herb.
[15:56.740 --> 16:01.320]  Your caregiver or your private grower or you are the only way you're going to get good
[16:01.320 --> 16:02.320]  cured herb.
[16:02.320 --> 16:03.320]  The dispensary is not going to do it.
[16:03.320 --> 16:07.360]  It tastes, you can taste the nutrients, you can taste the leaves, you can taste whatever
[16:07.360 --> 16:10.740]  other plant it was growing next to or hanging next to in the dry room.
[16:10.740 --> 16:13.540]  You can taste that in these dispensary buds, in my opinion.
[16:13.540 --> 16:18.380]  There are very few shops that are actually curing their herb, in my opinion.
[16:18.380 --> 16:20.180]  I don't work there, so I can't tell you what they're doing.
[16:20.180 --> 16:24.420]  I thought you were going to say there's very few shops flushing their stuff.
[16:24.420 --> 16:25.420]  That too.
[16:25.420 --> 16:26.420]  That too.
[16:27.100 --> 16:29.600]  Wow, you're going to have to let me know when we ...
[16:29.600 --> 16:34.540]  That's where we'll go there and get some herbal in a day.
[16:34.540 --> 16:35.900]  You got to put your buds back in the jar.
[16:35.900 --> 16:36.900]  You seal the jar.
[16:36.900 --> 16:38.180]  You wait four hours.
[16:38.180 --> 16:40.260]  That's when I open it again.
[16:40.260 --> 16:44.420]  Then I want to check the buds and make sure that they're not getting too much moisture
[16:44.420 --> 16:45.580]  is not coming out of there.
[16:45.580 --> 16:49.940]  If I feel like it's really humid inside of the jar, I say humid.
[16:49.940 --> 16:54.540]  If it's not too humid inside of the jar, I'll put them back in there, seal it up, and let
[16:54.620 --> 16:56.820]  them sit for six hours.
[16:56.820 --> 17:01.580]  I pretty much increase the time just by a couple of hours until I get to about 12 hours.
[17:01.580 --> 17:06.980]  Once you're checking them twice a day ... I'll do six hours, and then I'll do 10 hours, and
[17:06.980 --> 17:08.540]  then I'll wait until about 12 hours.
[17:08.540 --> 17:11.940]  Then I'll usually open them every morning when I wake up, and then right before I go
[17:11.940 --> 17:12.940]  to bed.
[17:12.940 --> 17:14.780]  That's about 12 hours, usually, in my world.
[17:14.780 --> 17:16.620]  You pop open the jar, make sure it's not too moist.
[17:16.620 --> 17:18.940]  Let it sit open for just 10 or 15 minutes.
[17:18.940 --> 17:23.900]  You just want to exchange the air, and then seal it back up, and let it sit there.
[17:23.900 --> 17:28.700]  Once you've got it to a point where you know it's not going to get any mold in it, that's
[17:28.700 --> 17:30.540]  when I like to just seal it up and leave it.
[17:30.540 --> 17:32.020]  I won't open it anymore.
[17:32.020 --> 17:33.420]  Go ahead.
[17:33.420 --> 17:37.460]  It should burn really nicely at this point, correct?
[17:37.460 --> 17:41.940]  It should burn nice and smooth.
[17:41.940 --> 17:42.940]  You can tell.
[17:42.940 --> 17:45.380]  I don't know if you guys have ever had perfectly cured herb.
[17:45.380 --> 17:46.380]  It's hard to get, honestly.
[17:46.380 --> 17:47.380]  Very.
[17:47.380 --> 17:50.140]  You know that herb you can smell down the block?
[17:50.140 --> 17:51.480]  You're going, oh, man.
[17:51.480 --> 17:53.800]  That stuff was slowly dried and cured.
[17:53.800 --> 17:57.960]  It let all of the chlorophyll sneak out, and it let all of the flavor that should have
[17:57.960 --> 17:58.960]  been there.
[17:58.960 --> 18:02.920]  When the chlorophyll disappears, that's when the other colors, the reds and the purples,
[18:02.920 --> 18:05.200]  start popping up, and you can start seeing those.
[18:05.200 --> 18:07.520]  That's what gives you really pretty buds.
