[00:14.010 --> 00:16.410]  Welcome back, cannabis community.
[01:43.410 --> 01:45.710]  It's got garlic and cookies at the end.
[01:45.710 --> 01:46.810]  I really like it.
[01:46.810 --> 01:49.010]  It's got a great head high, a face high.
[01:49.010 --> 01:49.910]  It goes to the eyes.
[01:49.910 --> 01:50.710]  I really feel it.
[01:50.710 --> 01:53.310]  So the Fatso Nectar is what I'm dabbing today.
[01:53.310 --> 01:55.010]  Earlier, I was taking dabs
[01:55.010 --> 01:57.510]  of some Cherry Slider Full Spectrum Extract,
[01:57.510 --> 01:58.810]  also from Green Dot.
[01:58.810 --> 02:02.210]  It is a combo of Cherry Pie Kush and Joseph OG.
[02:02.210 --> 02:04.710]  The flavor on the label is described as cherry cola.
[02:04.710 --> 02:09.010]  I thought it tasted like a packet of cherry Kool-Aid
[02:09.110 --> 02:11.710]  or maybe grape Kool-Aid with no sugar.
[02:11.710 --> 02:13.610]  It's a little strong.
[02:13.610 --> 02:14.910]  It's powerful in the flavor.
[02:14.910 --> 02:15.710]  It really hits the tongue
[02:15.710 --> 02:17.310]  with that cherry candy kind of flavor,
[02:17.310 --> 02:19.410]  but there's no sweetness to it.
[02:19.410 --> 02:21.910]  But it didn't have the medical quality
[02:21.910 --> 02:23.210]  or the high I was looking for.
[02:23.210 --> 02:25.610]  So I followed that up with the Fatso Nectar,
[02:25.610 --> 02:28.010]  and it worked out to be a beautiful combo.
[02:28.010 --> 02:29.110]  So that's what I'm dabbing on today.
[02:29.110 --> 02:31.310]  I hope you guys are taking dabs of something delicious.
[02:31.310 --> 02:33.210]  I hope you're smoking a blunt of something wonderful,
[02:33.210 --> 02:33.910]  if that's your thing.
[02:33.910 --> 02:35.610]  I hope you're smoking a fat joint.
[02:35.610 --> 02:37.410]  Maybe you've got the vaporizer going.
[02:37.410 --> 02:39.010]  Wherever you are, whatever you're doing,
[02:39.010 --> 02:43.410]  I hope you were getting heavily medicated with me today.
[02:43.410 --> 02:44.910]  All right, you guys, let's get into a podcast.
[02:44.910 --> 02:45.810]  I want to start the show off
[02:45.810 --> 02:49.210]  by reading a couple of iTunes customer reviews.
[02:49.210 --> 02:50.410]  I've got two fresh reviews
[02:50.410 --> 02:52.310]  since the last time I read them on the show.
[02:52.310 --> 02:54.810]  And if you'd like to leave an iTunes customer review,
[02:54.810 --> 02:56.010]  it's really easy.
[02:56.010 --> 02:58.010]  If you're using your iPad or your iPhone,
[02:58.010 --> 03:00.610]  simply go to the podcast, open up the podcast
[03:00.610 --> 03:02.410]  like you're going to play a fresh episode,
[03:02.410 --> 03:04.410]  click on the Available Episodes tab,
[03:04.410 --> 03:05.810]  and then scroll down,
[03:05.810 --> 03:07.610]  and eventually it will bring you a menu
[03:07.610 --> 03:10.610]  that shows the iTunes ratings and reviews.
[03:10.610 --> 03:11.410]  And there's a little tab.
[03:11.410 --> 03:13.210]  It simply says, Write a Review.
[03:13.210 --> 03:15.310]  Click on that and type in a review.
[03:15.310 --> 03:17.210]  Let me know what you think about the podcast,
[03:17.210 --> 03:20.610]  and I will read your review on a future episode.
[03:20.610 --> 03:22.610]  While you're there, it gives you the option
[03:22.610 --> 03:24.210]  to give me an amount of stars.
[03:24.210 --> 03:26.610]  It's a one through five star rating.
[03:26.610 --> 03:28.910]  So far, everybody that has left a written review
[03:28.910 --> 03:30.610]  has given me five stars.
[03:30.610 --> 03:33.010]  I encourage you to give me the amount of stars
[03:33.010 --> 03:34.610]  which you feel I deserve.
[03:34.610 --> 03:38.210]  So I look forward to seeing your iTunes customer review,
[03:38.210 --> 03:40.810]  and I look forward to reading your review on the show.
[03:40.810 --> 03:42.710]  So let's get into some of these reviews.
[03:42.710 --> 03:45.910]  This one comes from somebody who calls themselves Ben Hote.
[03:45.910 --> 03:47.510]  I hope I said that correctly.
[03:47.510 --> 03:50.210]  This review was left on July 26th.
[03:50.210 --> 03:53.510]  The headline is, A Podcast That Leads by Example.
[03:53.510 --> 03:54.910]  Of course, he gave me five stars,
[03:54.910 --> 03:57.410]  and it says, If you're interested in the cannabis scene,
[03:57.410 --> 03:59.510]  this is the podcast for you.
[03:59.510 --> 04:01.410]  Rasta Jeff and Mike take a deep dive
[04:01.410 --> 04:03.410]  into multiple cannabis topics.
[04:03.410 --> 04:06.410]  Each episode is guaranteed to educate and entertain.
[04:06.410 --> 04:08.610]  I love Rasta Jeff's authentic excitement
[04:08.610 --> 04:10.310]  and passion for cannabis.
[04:10.310 --> 04:13.410]  Mike and Jeff help keep me up to date on the cannabis scene
[04:13.410 --> 04:16.010]  while helping normalize cannabis in my own life.
[04:16.010 --> 04:18.910]  They promote family, honesty, and much more.
[04:18.910 --> 04:20.410]  Respect from Callie.
[04:20.410 --> 04:21.510]  Hey, big up from California.
[04:21.510 --> 04:23.010]  Thank you for the great review.
[04:23.010 --> 04:25.010]  There's a couple things I want to touch on there.
[04:25.010 --> 04:26.610]  First of all, he said Jeff and Mike.
[04:26.610 --> 04:29.010]  Hey, thanks for acknowledging that Mike comes on the show.
[04:29.010 --> 04:30.410]  Mike's got two kids now,
[04:30.410 --> 04:32.010]  so it's hard to get him out of the house.
[04:32.010 --> 04:33.110]  Sometimes when he comes over,
[04:33.110 --> 04:34.410]  he's not in the mood to record.
[04:34.410 --> 04:36.010]  He just wants to chill out, take some dabs,
[04:36.010 --> 04:37.110]  and have a good time.
[04:37.110 --> 04:39.610]  So shout out to Mike for being on the show when he wants to
[04:39.610 --> 04:41.610]  and for putting his energy into that.
[04:41.610 --> 04:44.110]  And dude, thanks for acknowledging our deep dives
[04:44.110 --> 04:46.310]  into the topics, because I kind of do go deep.
[04:46.310 --> 04:49.410]  I want to, I usually focus one episode on a whole topic
[04:49.410 --> 04:50.910]  and try to get you educated on that,
[04:50.910 --> 04:51.710]  and then we move forward.
[04:51.710 --> 04:53.410]  I try not to cover too much in one show
[04:53.410 --> 04:55.310]  as for multiple topics.
[04:55.310 --> 04:56.710]  Try to get that one topic thorough.
[04:56.710 --> 04:57.710]  So I'm glad you noticed that.
[04:57.710 --> 04:58.710]  Thank you.
[04:58.710 --> 05:01.110]  And then he said guaranteed to educate and entertain.
[05:01.110 --> 05:02.310]  That's what I'm here for.
[05:02.310 --> 05:05.810]  I was not a good student in school because I was bored.
[05:05.810 --> 05:07.510]  If my teacher would have taken a minute
[05:07.510 --> 05:09.210]  to make that class entertaining,
[05:09.210 --> 05:10.710]  I would have learned so much more.
[05:10.710 --> 05:13.410]  So I feel like I keep your attention
[05:13.410 --> 05:16.210]  and keep educating you by staying entertaining.
[05:16.210 --> 05:17.410]  Throw in a couple of jokes here,
[05:17.410 --> 05:18.810]  say some silly shit occasionally,
[05:18.810 --> 05:20.210]  and that's just my personality anyway,
[05:20.210 --> 05:21.510]  so it works out well.
[05:21.510 --> 05:24.610]  So I think my learning style is probably similar
[05:24.610 --> 05:27.210]  to a lot of cannabis consumers.
[05:27.210 --> 05:28.610]  We have to have a joke here and there.
[05:28.610 --> 05:30.910]  We have to have some light to the heavy
[05:30.910 --> 05:31.910]  to make it enjoyable.
[05:31.910 --> 05:33.610]  So I try to throw that in there.
[05:33.610 --> 05:34.510]  So thanks for noticing that.
[05:34.510 --> 05:36.710]  And dude, thanks for noticing my authentic excitement
[05:36.710 --> 05:37.810]  and passion for cannabis.
[05:37.810 --> 05:39.010]  That is true.
[05:39.010 --> 05:39.910]  That will never go away.
[05:39.910 --> 05:40.810]  Thanks for noticing that.
[05:40.810 --> 05:43.510]  So and also we keep you up to date on the cannabis scene
[05:43.510 --> 05:45.510]  and help you normalize cannabis in your own life.
[05:45.510 --> 05:46.810]  That's very interesting.
[05:46.810 --> 05:48.210]  I'm glad that we keep you up to date.
[05:48.210 --> 05:49.810]  I kind of think that a lot of my listeners
[05:49.810 --> 05:52.510]  may live vicariously through Mike and myself
[05:52.510 --> 05:53.810]  and the other folks that come on the show.
[05:53.810 --> 05:55.910]  So that's why I try to give detailed descriptions
[05:55.910 --> 05:57.010]  about what I'm smoking
[05:57.010 --> 05:58.710]  and some of the weird things that I do.
[05:58.710 --> 05:59.710]  So thanks for noticing that, man.
[05:59.710 --> 06:00.510]  I appreciate that.
[06:00.510 --> 06:01.910]  And once again, shout out to Mike
[06:01.910 --> 06:04.810]  and normalizing cannabis in your own life.
[06:04.810 --> 06:06.610]  That's an interesting statement.
[06:06.610 --> 06:08.310]  I'm not sure how you mean that,
[06:08.310 --> 06:09.610]  but that is really interesting.
[06:09.610 --> 06:11.210]  I'd like to know more about that.
[06:11.210 --> 06:14.410]  Also, we said they promote family, honesty, and much more.
[06:14.410 --> 06:17.010]  Yes, it's all about telling the kids the truth
[06:17.010 --> 06:19.910]  about cannabis and doing what needs to be done correctly.
[06:19.910 --> 06:21.810]  So dude, thanks for the great review.
[06:21.810 --> 06:24.810]  And for the five stars, I really do appreciate that.
[06:24.810 --> 06:26.410]  If I can get the iPad to cooperate,
[06:26.410 --> 06:29.510]  we will move into the next iTunes customer review.
[06:29.510 --> 06:31.010]  It goes like this.
[06:31.010 --> 06:34.110]  This one is left by somebody whose name is I'm the dude.
[06:34.110 --> 06:35.710]  What's up, the dude?
[06:35.710 --> 06:36.710]  This was left on.
[06:36.710 --> 06:38.410]  And this is not my friend named the dude.
[06:38.410 --> 06:40.610]  I do have a very good friend known as Rob the dude.
[06:40.610 --> 06:42.110]  This is not from Rob the dude.
[06:42.110 --> 06:44.410]  But either way, shout out to Rob the dude.
[06:44.410 --> 06:46.610]  The headline says ramble on brother.
[06:46.610 --> 06:48.110]  It sounds like you do listen to the show
[06:48.110 --> 06:50.610]  because sometimes we get quite rambly here.
[06:50.610 --> 06:52.810]  Anyway, the customer review goes like this.
[06:52.810 --> 06:55.610]  Jeff, my man, I love the podcast and all of the pictures.
[06:55.610 --> 06:58.110]  I think they're referring to my Instagram pictures.
[06:58.110 --> 06:59.410]  If you want to follow me on Instagram,
[06:59.410 --> 07:01.110]  it's I re underscore genetics.
[07:01.110 --> 07:04.010]  I post a lot of wonderful cannabis photography.
[07:04.010 --> 07:06.210]  I just posted a picture of black cherry Kim
[07:06.210 --> 07:09.710]  that has gotten over 400 likes in about seven hours.
[07:09.710 --> 07:12.110]  So that's a quality photo there on Instagram.
[07:12.110 --> 07:15.610]  Anyway, the review goes, I'd love to get some shots myself.
[07:15.610 --> 07:17.510]  Dude, all you've got to do is grow your plants,
[07:17.510 --> 07:18.810]  take good care of them,
[07:18.810 --> 07:21.910]  get yourself a nice piece of material from that's just I know.
[07:21.910 --> 07:24.710]  I know we had a listener say I shouldn't shop at Hobby Lobby.
[07:24.810 --> 07:26.310]  If you've got a fabric store,
[07:26.310 --> 07:28.810]  maybe Karen's fabrics or whoever Suzanne fabric.
[07:28.810 --> 07:31.410]  I don't know who the lady with a fabric store in your town,
[07:31.410 --> 07:34.310]  but find her get a just a nice yard of fabric.
[07:34.310 --> 07:36.310]  Hang that up. Put a light right above it.
[07:36.310 --> 07:39.210]  Get a decent camera. I'm just using a Nikon d3200.
[07:39.210 --> 07:41.110]  I've learned the settings on it real well.
[07:41.110 --> 07:45.210]  I've learned where to put the lights put your plants in front of a couple of really colorful tapestries
[07:45.210 --> 07:47.910]  or backgrounds take some great shots and practice man.
[07:47.910 --> 07:49.510]  You'll get there. It's just practice.
[07:49.510 --> 07:52.010]  It's learning the lighting the angles
[07:52.010 --> 07:54.110]  and honestly the settings on your camera.
[07:54.110 --> 07:57.910]  Once you get the camera figured out you'll be taking great shots.
[07:57.910 --> 08:01.010]  He also says your show is incredibly informative and helpful.
[08:01.010 --> 08:02.510]  Hey, that's what we're here for man. Thank you.
[08:02.510 --> 08:03.810]  And then he says keep it up man.
[08:03.810 --> 08:07.010]  It's always cool to find a fellow musician as well.
[08:07.010 --> 08:10.510]  Stay iry and rock on then he signed his name Mike.
[08:10.510 --> 08:12.110]  Hey Mike, it sounds like we could be friends bro.
[08:12.110 --> 08:14.610]  Hang out take some dabs play some music.
[08:14.610 --> 08:16.710]  Anyway, thanks for the great five-star review
[08:16.710 --> 08:20.210]  and guaranteed I will ramble on and I will keep it up dude.
[08:20.210 --> 08:21.510]  Thanks again for listening to the show
[08:21.510 --> 08:27.210]  and thanks to both of you for the five-star iTunes customer review.
[08:27.210 --> 08:30.410]  And again you guys I'm looking at the tab right now.
[08:30.410 --> 08:33.010]  If you go to the grow from your heart podcast
[08:33.010 --> 08:36.110]  where it shows that you're all caught up on listening to episodes mind says I'm all caught up.
[08:36.110 --> 08:38.110]  I honestly don't listen. I just delete them
[08:38.110 --> 08:41.510]  but I've got to have the show in the queue so that I can see when the shows pop up
[08:41.510 --> 08:42.710]  and I can get the links to tweet them.
[08:42.710 --> 08:45.410]  But if you go where it says that you've listened everything
[08:45.410 --> 08:48.110]  and then you scroll up you will see ratings and reviews
[08:48.110 --> 08:50.110]  and you'll see that Todd is at the top here.
[08:50.110 --> 08:54.110]  He left a review four years ago and then right next to that.
[08:54.110 --> 08:56.710]  It says write a review you just click right on there
[08:56.710 --> 08:58.710]  and it brings up the little screen to write a review
[08:58.710 --> 09:00.610]  and at the top it gives you the amount of stars
[09:00.610 --> 09:03.010]  so you can right away click on five stars
[09:03.010 --> 09:06.210]  or however many you feel like I deserve type in a title for your review
[09:06.210 --> 09:08.910]  and then go ahead and leave your customer review right there
[09:08.910 --> 09:10.610]  then hit send and it will post
[09:10.610 --> 09:14.710]  and I will read it on a future episode.
[09:14.710 --> 09:18.610]  Now that I'm caught up on iTunes reviews, let's work on some emails
[09:18.610 --> 09:20.010]  and I want to knock out a bunch of emails
[09:20.010 --> 09:24.110]  because I do have a large block of grow lessons coming up.
[09:24.110 --> 09:25.410]  I know I keep talking about it.
[09:25.410 --> 09:28.210]  I'm trying to get a few other random topics covered
[09:28.210 --> 09:31.110]  get some emails out of the way get a few loose ends tied up
[09:31.110 --> 09:34.610]  and then we're going to really dive into a long block of lessons,
[09:34.610 --> 09:37.310]  but in the meantime, let's catch up on some emails.
[09:37.310 --> 09:38.210]  I've got a great message.
[09:38.210 --> 09:42.210]  This one was just at the top of my inbox and it goes like this.
[09:42.210 --> 09:43.710]  Hey Rasta Jeff.
[09:43.710 --> 09:44.810]  My name is Adam.
[09:44.810 --> 09:46.010]  You can say it on the show
[09:46.010 --> 09:48.510]  and I've been listening to the show for a little while now
[09:48.510 --> 09:51.010]  and just have to say you do an amazing job.
[09:51.010 --> 09:51.310]  Hey Adam.
[09:51.310 --> 09:52.110]  Thanks for listening, bro.
[09:52.110 --> 09:54.110]  I do appreciate that and thanks for the compliment.
[09:54.110 --> 09:57.810]  He goes on to say I'm going through my first growth cycle seems to be going well,
[09:57.810 --> 10:00.510]  but I listened to you talk about the humidity on the podcast
[10:00.510 --> 10:07.010]  and I was just wondering where you were testing your humidity from is it floor level plant level light level
[10:07.010 --> 10:08.910]  or above the lights.
[10:08.910 --> 10:13.510]  I'm getting low to mid 70s around the plants mid 60s above the lights.
[10:13.510 --> 10:17.510]  It's a 5 by 5 room with seven Girl Scout cookies plants inside
[10:17.510 --> 10:19.810]  and I'm using a 1000 watt LED light
[10:19.810 --> 10:23.510]  and I have an oscillating fan in the corner on low.
[10:23.510 --> 10:29.310]  Thanks for any help and will definitely take a dab and give my mom a hug for you.
[10:29.310 --> 10:31.010]  You're already on the right path my friend.
[10:31.010 --> 10:34.710]  So let's talk about the humidity in your grow environment.
[10:34.710 --> 10:38.810]  This is a really good question because you've probably got just a small hygrometer.
[10:38.810 --> 10:41.010]  It's got the temperature and the amount of humidity.
[10:41.010 --> 10:43.910]  It's probably there's several different versions of this device,
[10:43.910 --> 10:47.810]  but it's usually about the size of like a pack of playing cards like a deck of playing cards.
[10:47.810 --> 10:51.010]  Maybe the size of your iPhone it probably hangs somewhere in the room.
[10:51.010 --> 10:55.210]  It's got a little sensor on it that measures the temperature and humidity in there
[10:55.210 --> 10:59.810]  and it just hangs and it displays and he probably only measures just a small area
[10:59.810 --> 11:03.410]  and most people aren't thinking about how many readings that thing is taking
[11:03.410 --> 11:07.710]  and the amount of area that is measuring in so it's a really good idea that you brought that up.
[11:07.710 --> 11:10.210]  I bet a lot of people are thinking wow, I've never thought of this.
[11:10.210 --> 11:12.110]  So they're going to go move their hygrometer right now.
[11:12.110 --> 11:15.710]  They're going to go change it to canopy level or they're going to go put it at another area.
[11:15.710 --> 11:22.610]  Anyway, I would recommend mostly paying attention to about canopy level about the top of the canopy
[11:22.610 --> 11:26.410]  down is where you really mostly want to focus where the plants are is
[11:26.410 --> 11:28.710]  where you want to focus on the humidity level.
[11:28.710 --> 11:31.510]  It's going to vary throughout the room like you're saying,
[11:31.510 --> 11:36.810]  but it's most important about canopy level down in through the canopy of the plants.
[11:36.810 --> 11:40.110]  That's about where you want to focus on the proper humidity.
[11:40.110 --> 11:43.210]  Of course, it's going to be a little more humid down low
[11:43.210 --> 11:46.610]  because you're watering the pots and that's where all the water is starting.
[11:46.610 --> 11:51.210]  It's going to be drier up above the lights because the water is going to rise toward the light,
[11:51.210 --> 11:55.410]  but it's not going to go past I'm talking about the evaporation the condensation.
[11:55.410 --> 11:58.810]  It's not going to rise past the light because there's no heat point up there.
[11:58.810 --> 12:01.210]  You may get a little pocket of stale humidity up there,
[12:01.210 --> 12:06.710]  but it's not going to be as humid above the light as it will be near the plants and down low.
[12:06.810 --> 12:11.310]  So I would focus more on the humidity near the plants.
[12:11.310 --> 12:14.310]  That's where it matters most is right around the plant.
[12:14.310 --> 12:20.110]  So if probably from the top bud down to about 18 to 24 inches down
[12:20.110 --> 12:21.710]  through the whole section of the canopy,
[12:21.710 --> 12:28.310]  you probably got like a 4 by 4 or 5 by 5 area in which your plants are taking up square footage area.
[12:28.310 --> 12:31.110]  That's where I would mainly worry about it.
[12:31.110 --> 12:33.710]  Now I'm going to kind of shift gears.
[12:33.710 --> 12:37.010]  I would check the vapor pressure deficit of the entire room.
[12:37.010 --> 12:40.910]  I would move my equipment around and see what it is throughout the room
[12:40.910 --> 12:43.610]  because you may have a hot pocket in one room.
[12:43.610 --> 12:45.510]  You may have not that kind of hot pocket you guys.
[12:45.510 --> 12:47.910]  I know you're hungry and you're stoned but not that kind of hot pocket.
[12:47.910 --> 12:50.010]  You may have a hot pocket in one part of the room.
[12:50.010 --> 12:53.010]  You may have a humid pocket in one part of the room.
[12:53.010 --> 12:57.510]  You may want to move that hygrometer around that thermometer around you want to move it around the room
[12:57.510 --> 12:59.710]  and see what's actually going on in there.
[12:59.710 --> 13:02.410]  You may be clueless that you've got one corner.
[13:02.410 --> 13:05.310]  That's not getting any airflow and you've got a bunch of humidity back there
[13:05.310 --> 13:06.710]  and it's getting real hot back there,
[13:06.710 --> 13:08.810]  but the rest of the room seems just fine.
[13:08.810 --> 13:10.710]  So this is a great thing to bring up.
[13:10.710 --> 13:15.510]  Don't just leave that hygrometer and thermometer in one area move it around
[13:15.510 --> 13:17.910]  and try to get the whole room ideal
[13:17.910 --> 13:20.810]  and the way you're going to get the whole room ideal is by more airflow.
[13:20.810 --> 13:22.210]  If you've got it pretty good over here,
[13:22.210 --> 13:24.110]  and it's just a little bit off over here.
[13:24.110 --> 13:26.410]  You can probably balance it out by moving air.
[13:26.510 --> 13:29.810]  You may need to bring in more air or evacuate more air,
[13:29.810 --> 13:33.010]  but if you're doing pretty close over here,
[13:33.010 --> 13:36.210]  and you're just a little bit if it's just stale on this corner,
[13:36.210 --> 13:39.110]  just put airflow in that corner and get the air moving.
[13:39.110 --> 13:43.310]  So you quit building that humid pocket over there or you quit cooking hot pockets over there.
[13:43.310 --> 13:44.110]  Whatever is happening.
[13:44.110 --> 13:49.610]  So the humidity and temperature are good things to pay attention to in the room,
[13:49.610 --> 13:54.910]  but also that's going to add up to a vapor pressure deficit that you're going to have to pay attention to.
[13:54.910 --> 13:58.110]  That's a math equation that I covered on another episode.
[13:58.110 --> 14:00.610]  There are websites on vapor pressure deficit.
[14:00.610 --> 14:04.810]  If you're not familiar with that, that's something else to check into.
[14:04.810 --> 14:12.510]  Now something else I want to think about in this message is you're saying that you're getting low to mid 70s percent humidity around the plants
[14:12.510 --> 14:16.110]  and mid 60s above the lights.
[14:16.110 --> 14:17.410]  That makes sense to me.
[14:17.410 --> 14:23.610]  It's about 70% humidity right around the plants and 60% humidity up above the lights.
[14:23.610 --> 14:28.910]  Now I'm curious how long had it been since you watered when you took that measurement when you got that reading?
[14:28.910 --> 14:31.410]  Did you just water or is it time to water?
[14:31.410 --> 14:35.910]  Because if you just watered and you've got that 70 and 60 you might be okay,
[14:35.910 --> 14:41.310]  but if it's time to water and you're still that humid in there, you're going to run into problems.
[14:41.310 --> 14:43.710]  You're going to have a little bit too much humidity in there
[14:43.710 --> 14:47.210]  and you're going to want to bring that down before you get into late flower
[14:47.210 --> 14:50.910]  or you run the risk of powdery mildew of bud rot
[14:50.910 --> 14:55.110]  and also you're just going to slow down the overall growth of your plants.
[14:55.110 --> 15:04.710]  So it totally makes sense to me that you're getting two different measurements one by the floor probably three or four measurements one by the floor one by the pot level one at canopy level and one up by the lights.
[15:04.710 --> 15:06.910]  You're going to have different humidity levels there.
[15:06.910 --> 15:10.010]  You're going to have to use airflow techniques to balance that out.
[15:10.010 --> 15:17.010]  If you've got a grow tent or a small room, it shouldn't be too hard a couple of small fans will make that work for you.
[15:17.010 --> 15:19.610]  Also, you're going to have to lower that humidity.
[15:19.610 --> 15:23.810]  You either need to evacuate some of the stale air and get fresh air in there.
[15:23.810 --> 15:26.410]  You need to get a small dehumidifier in there.
[15:26.410 --> 15:32.110]  Some way you need to bring that humidity down maybe minimize the amount of water you are watering the plants.
[15:32.110 --> 15:33.310]  I don't know if that's an option.
[15:33.310 --> 15:39.410]  It's just something you can think about doing but you need to get that humidity down before you run into problems.
[15:39.410 --> 15:43.310]  As I look further into your email, I'm just sitting here reading it again as I'm talking.
[15:43.310 --> 15:47.110]  Do you have anything on top of the grow room sucking out stale air?
[15:47.110 --> 15:54.410]  It says you've got a 5x5 room, 7 Girl Scout cookies, plants, a 1000 watt LED and an oscillating fan in the corner on low.
[15:54.410 --> 15:56.510]  Is there anything sucking that humidity out?
[15:56.510 --> 16:00.110]  You may need a can fan up top evacuating old air.
[16:00.110 --> 16:02.610]  That's going to be my first recommendation.
[16:02.610 --> 16:05.710]  Now while your humidity is that high pay attention to your leaves.
[16:05.710 --> 16:12.110]  If those leaves start sweating, if you see moisture coming out of the leaves heavily, then you're getting too humid in there.
[16:12.110 --> 16:16.010]  If they're started getting dry and looking leathery, it's too humid in there.
[16:16.010 --> 16:22.810]  If you've got a spot where two leaves are overlapping and they start sticking together because it looks like they've been pasted together,
[16:22.810 --> 16:30.210]  moisture came out of the bottom of one leaf and stuck to the top of the other leaf and now those leaves have kind of pasted themselves together.
[16:30.210 --> 16:32.810]  That's because you've got too much humidity in there.
[16:32.810 --> 16:41.710]  So it's going to cause you problems and you need to get that reduced as soon as possible because if you get into flower that is going to cause you problems.
[16:41.810 --> 16:48.610]  And if you're growing Girl Scout cookies, man, you're already fighting an uphill battle because Girl Scout cookies is not the easiest strain to grow.
[16:48.610 --> 16:51.110]  But the best part about cookies is when you do it, right?
[16:51.110 --> 16:52.310]  It is phenomenal.
[16:52.310 --> 16:54.510]  It will sell it will move off the shelf.
[16:54.510 --> 17:01.510]  It will come right out of the bag into people's pipes and you will do just fine if you do it properly.
[17:01.510 --> 17:03.610]  So I hope I answered that question man.
[17:03.610 --> 17:05.710]  I want to take readings from the entire room.
[17:05.710 --> 17:13.110]  But if you can't get the whole room dialed in focus on the area where the plants are in a small 5 by 5 area.
[17:13.110 --> 17:18.010]  It shouldn't take a lot of effort to get the room dialed in just a couple of fans.
[17:18.010 --> 17:20.410]  Honestly, I keep talking about that evacuation fan.
[17:20.410 --> 17:22.710]  You need something to pull all their out of there.
[17:22.710 --> 17:28.210]  Once you start pulling that old air out, you will see much more performance from your plants.
[17:28.210 --> 17:29.010]  So good luck Adam.
[17:29.010 --> 17:30.010]  Let me know how that goes.
[17:30.010 --> 17:35.610]  And if you have any more questions, feel free to send me a backup email and you guys if you'd like to send me an email my email address.
[17:35.610 --> 17:39.010]  Is grow from your heart at hotmail.com.
[17:39.010 --> 17:40.110]  I would love to hear from you.
[17:40.110 --> 17:41.910]  So let's get right to the next message.
[17:41.910 --> 17:43.710]  This one says what's up Rasta Jeff.
[17:43.710 --> 17:46.010]  I enjoy your podcast thoroughly.
[17:46.010 --> 17:49.810]  You definitely display a bunch of knowledge and love to share it with the public.
[17:49.810 --> 17:50.310]  Absolutely.
[17:50.310 --> 17:51.210]  That's what I'm here for man.
[17:51.210 --> 17:52.210]  Thanks for the great compliment.
[17:52.210 --> 17:53.510]  Thanks for noticing.
[17:53.510 --> 17:55.410]  He says highly appreciated by many.
[17:55.410 --> 17:58.910]  I'm sure because I think that your inbox is insanely busy.
[17:58.910 --> 18:00.910]  I'll get to another question.
[18:01.010 --> 18:06.910]  Have you ever thought to reverse a male and then have it pollinated by another male?
[18:06.910 --> 18:08.910]  Yes, we've thought of that but I'm going to keep going with your email.
[18:08.910 --> 18:21.110]  He says for what reason maybe it will increase the chances of finding crazy keeper males and perhaps maybe for some reason increasing the potency of the females due to genetic gender limitations.
[18:21.110 --> 18:22.910]  I'm sure you'll understand what I mean.
[18:22.910 --> 18:23.410]  Hit me back.
