[00:00.000 --> 00:02.000]  Summarize this and I
[05:21.650 --> 05:23.650]  Keep their fruit crops alive
[05:24.290 --> 05:25.650]  well
[05:25.650 --> 05:28.010]  If they could increase the wind
[05:29.010 --> 05:35.690]  That would help them. So I don't have a picture here, but they're not hard to find the smudge pots go away
[05:36.410 --> 05:38.410]  and
[05:38.770 --> 05:43.930]  There are pictures on the internet of huge towers they look like
[05:45.650 --> 05:48.050]  Reverse electric wind generators
[05:48.970 --> 05:52.730]  Blown wind over their crops all through the orchard
[05:53.130 --> 05:58.450]  To mix the air and these are cooling by radiation, but they're warming them back up by wind
[05:58.450 --> 06:01.090]  So they both prevent inversions because of the wind
[06:01.610 --> 06:04.970]  but they also mix the air so that they
[06:05.370 --> 06:10.010]  The airflow over the leaves warms them up and they don't have a radiation frost
[06:10.010 --> 06:12.610]  They just have leaves similar temperature of the air
[06:13.170 --> 06:14.690]  so
[06:14.690 --> 06:16.690]  wind is is a
[06:17.450 --> 06:23.170]  Solution but these wind generators and I've talked to some of the fruit growers in Utah
[06:24.410 --> 06:26.410]  They tell me they cost
[06:26.970 --> 06:28.970]  $10,000 per hour
[06:29.730 --> 06:35.010]  To run that these are big wind generators and if they're super expensive
[06:35.890 --> 06:38.610]  And of course I'm going geez, you know
[06:38.610 --> 06:42.130]  Wouldn't you like to just put a few thousand into a lot of really careful?
[06:42.250 --> 06:47.190]  Monitoring because if you could just not run this for an hour you paid for your whole weather station
[06:47.690 --> 06:53.050]  So we're getting there but better better monitoring so they can pinpoint when they have to turn these on
[06:53.570 --> 06:57.590]  But this is they pay for themselves the value of the fruit so much but now
[06:58.410 --> 07:01.890]  There's the third technique that's getting more and more popular
[07:02.650 --> 07:04.650]  and you're gonna
[07:04.770 --> 07:07.570]  Love this picture. This was the cover of
[07:08.250 --> 07:12.810]  The American Society for horticultural science a few years ago
[07:15.610 --> 07:19.770]  And this is a fruit tree crop, I think this was in Florida
[07:20.730 --> 07:23.210]  dwarf fruit trees are in pots and
[07:23.890 --> 07:29.370]  It's the first thing in the morning and you would go. Oh, what a bummer, you know, his crop is ruined
[07:30.330 --> 07:32.330]  But this grower is so happy
[07:33.610 --> 07:36.450]  And you see that sprinkler right there
[07:38.130 --> 07:43.930]  This is using latent heat of condensation to keep his trees warm
[07:44.810 --> 07:48.370]  They go below freezing. He turns on the sprinkler and
[07:49.090 --> 07:50.970]  This is cold water
[07:50.970 --> 07:54.290]  but when that water freezes it releases heat and
[07:55.370 --> 07:57.370]  It warms the leaves
[07:57.690 --> 08:01.810]  Only once you start this you have to keep going all night long because it can't stop
[08:01.890 --> 08:05.010]  But he keeps running the sprinklers the water keeps freezing
[08:05.730 --> 08:07.650]  Doesn't pollute the air
[08:07.650 --> 08:09.770]  Doesn't cost ten thousand dollars an hour
[08:09.770 --> 08:16.650]  he's just running his sprinklers, but it's using physical principles to prevent frost in his crops and
[08:18.090 --> 08:23.650]  This is now the most widely used method of frost protection. It makes a mess
[08:23.650 --> 08:28.170]  There's mud everywhere and a yacht uses water, but he uses water in the early spring
[08:28.170 --> 08:33.770]  There's usually more water and it's way way cheaper than running these fans. So it depends on the orchard
[08:33.970 --> 08:36.730]  This is harder to do. Of course if the trees are big
[08:37.570 --> 08:40.690]  but it's a great principle and when I
[08:42.170 --> 08:44.850]  Saw this and started thinking about this. I
[08:46.250 --> 08:48.850]  Think I have a data logger in my house
[08:49.490 --> 08:56.010]  And I run a wire out in my yard at the thermocouple and put it next to my garden
[08:56.810 --> 09:02.950]  And I didn't want to automate this because why miss all the fun. I had to turn on a radio when the
[09:03.810 --> 09:05.810]  temperature got below freezing
[09:05.890 --> 09:10.730]  So I get up and put on my slippers and go turn on my irrigation controller
[09:10.730 --> 09:13.850]  And this is a picture of my garden in
[09:14.690 --> 09:18.330]  82 Crockett Avenue on one morning after a radiation frost
[09:18.330 --> 09:22.130]  It's a little glary, but this looks like those orchards all covered with ice
[09:22.770 --> 09:25.810]  Nothing froze. I had tomatoes that made it through the night
[09:27.290 --> 09:32.650]  It was a great achievement and of course, I'm monitoring how the temperature went with thermocouples out in my garden
[09:32.650 --> 09:34.730]  So this isn't just a theoretical thing
[09:34.730 --> 09:38.570]  You can do this in your yard to keep your tomatoes going longer in the fall
[09:38.570 --> 09:40.810]  And all you have to do is pay for the water bill
[09:42.890 --> 09:47.570]  No, it just it just sits there and freezes and protects them
[09:47.930 --> 09:54.330]  It doesn't it it could I suppose but it's if it if it got a heavy and a branch broke off
[09:54.330 --> 10:01.450]  It could damage the plant but but it doesn't happen all at once. It's just a little tiny freezing and it gradually
[10:01.890 --> 10:03.890]  builds up
[10:14.570 --> 10:19.490]  So this our frosts are depends exactly where you live when the frosts are there they're later
[10:20.290 --> 10:23.770]  Campus than they are in the middle of the valley, but in the middle of valley
[10:23.770 --> 10:27.890]  We're sometime in September and into early October
[10:28.330 --> 10:34.450]  But the problem is you get one frost and then you might get where you call that Indian summer two or three weeks of nice
[10:34.450 --> 10:37.050]  weather you can take advantage of that if you
[10:37.570 --> 10:39.570]  If your plants weren't didn't freeze
[10:41.130 --> 10:43.250]  Yeah late September
[10:49.330 --> 10:52.570]  Yes, so that so the question is what happens in the day
[10:52.970 --> 11:00.130]  Well now the Sun comes up and the radiations more favorable and the Sun shines on it and it melts the ice and they're fine
[11:00.850 --> 11:05.650]  Yeah, you could you could probably keep irrigating and and melt it off or something
[11:05.650 --> 11:10.290]  But but if the Sun melts it off and that's actually kind of important that it doesn't
[11:11.010 --> 11:12.850]  thaw of immediately
[11:12.850 --> 11:14.530]  but it's
[11:14.530 --> 11:19.810]  Typically a cold clear night is followed by a sunny day
[11:20.250 --> 11:25.850]  It's clear at night. It's clear the next morning. So it warms up and you can melt all the ice and
[11:26.690 --> 11:30.810]  The temperature swings are big so and it just barely went below freezing
[11:30.810 --> 11:35.510]  So the next day is it pretty easily melts all the ice the next day
[11:37.850 --> 11:43.290]  So this is one of those things you ought to try this at home because it works and you just need a little
[11:43.450 --> 11:48.090]  Controller to tell when it turn the sprinklers on you need to know when to turn them on
[11:48.730 --> 11:52.450]  Because you make it worse if you turn them on too early, it's not freezing now
[11:52.450 --> 11:58.650]  It's wet and now it makes them colder. It only makes a more when there really are a below freezing
[11:59.130 --> 12:04.650]  So you want to get the timing just right and calculate the leaf surface temperatures and when they're freezing
[12:04.730 --> 12:08.490]  Then you start and then they have the plants can take
[12:09.690 --> 12:11.690]  minus one below freezing
[12:12.410 --> 12:18.130]  But they can't take minus two or three and this keeps them right close to freezing
[12:19.610 --> 12:21.610]  so a
[12:23.410 --> 12:25.850]  Couple other follow-up things on
[12:31.250 --> 12:33.250]  Conduction and convection
[12:33.450 --> 12:35.530]  This is an article
[12:36.130 --> 12:42.090]  From a few years ago a newspaper article nice concise summary
[12:42.890 --> 12:46.730]  but many people know everybody knows about windchill and
[12:47.650 --> 12:49.650]  if you grow up in a really
[12:50.130 --> 12:55.770]  Cold place and it's windy in the winter. The wind shows way colder than the air temperature and
[12:56.290 --> 13:00.890]  When I was a kid growing up, they closed schools because the wind show got so cold that
[13:01.410 --> 13:03.170]  They just closed the school
[13:03.170 --> 13:09.770]  Well, it turns out the wind chill factor was initially a really crude factor by a guy in
[13:10.090 --> 13:15.490]  Antarctica putting a can of water out and then looking at wind and how long it took the water to freeze
[13:15.690 --> 13:17.690]  And he made this crude index
[13:18.170 --> 13:20.970]  so much later people came along with
[13:22.370 --> 13:29.970]  biophysical principles of heat transfer and made a new wind chill factor and what they found was this guy
[13:30.570 --> 13:37.850]  Overestimated it and so it's really not as cold as it seems when we have the corrected index and
[13:39.650 --> 13:45.170]  People were slow to use the new one because everyone likes to brag about how cold it is and it's really not as bad
[13:45.170 --> 13:47.970]  as it seems but this is a short summary of this and
[13:49.690 --> 13:52.830]  Calculating the the wind chill we do that by the way on campus
[13:52.830 --> 13:56.090]  We have a line for wind chill and the winter how cold it gets
[13:56.530 --> 14:02.010]  But it's it's a great and now this is widely used I mean now people when they do the school closings
[14:02.010 --> 14:08.050]  They don't use the embellished wind chill factor. They use the real one and it's a nice summary of that
[14:20.230 --> 14:22.230]  So
[14:23.550 --> 14:25.190]  I've had these
[14:25.190 --> 14:27.070]  beads up here
[14:27.070 --> 14:32.190]  For a for a couple of days. Can you see those Chris and this and this thing?
[14:32.630 --> 14:35.190]  And I forgot to show these to you the other day
[14:37.350 --> 14:38.030]  I
[14:38.030 --> 14:43.990]  Had occurred to me to make this a couple years ago when I was asked to do a TED talk on water
[14:43.990 --> 14:48.470]  and I wanted to find ways to emphasize what's in the air and
[14:49.350 --> 14:50.750]  So we went to
[14:50.750 --> 14:57.350]  Al sporting goods and bought a bunch of these little white pellets and then we had to paint them colors to get this
[14:57.830 --> 14:59.750]  But this big jar
[14:59.790 --> 15:01.950]  Represents the nitrogen in the air
[15:05.510 --> 15:09.630]  20.95% this is the oxygen in the air
[15:11.430 --> 15:13.630]  This one is the carbon dioxide
[15:14.710 --> 15:16.710]  There's 10,000 of these
[15:18.270 --> 15:19.430]  BBs
[15:19.430 --> 15:21.430]  to every four and
[15:21.590 --> 15:23.910]  And the point is wow
[15:24.710 --> 15:28.910]  The plants have to find those four molecules to for photosynthesis
[15:28.910 --> 15:36.390]  That's just remarkable and here's what we get to work with we have 20.95% for our breathing, but here's the other thing
[15:37.710 --> 15:38.870]  water
[15:38.870 --> 15:41.950]  You look at what's in the air and nobody ever mentions water
[15:42.470 --> 15:48.030]  Because water is so variable these are other ones are very constant. So now we add water to this
[15:49.670 --> 15:53.510]  So if you counted these I made this example
[15:54.590 --> 15:57.350]  3% water which is
[15:58.670 --> 16:00.670]  a
[16:00.670 --> 16:05.070]  Typical day in the summer if this was air in the winter
[16:05.070 --> 16:09.950]  And if this was a real thing I could take this and I would just pour a bunch of these out
[16:09.950 --> 16:11.950]  So there's just a few left
[16:11.990 --> 16:16.550]  Winter air hardly has any water in it. It is so cold the water can't hold anything
[16:16.550 --> 16:22.870]  So this jar would just have a few water molecules in it if we made hot humid air
[16:23.550 --> 16:26.910]  This could get this could double this
[16:27.550 --> 16:35.350]  Amount of water vapor in the air, but I've always liked this because it's a nice concise visual demonstration of nitrogen
[16:35.910 --> 16:38.030]  oxygen water vapor and
[16:38.670 --> 16:44.510]  CO2 and all the other stuff like there's a little argon and the other stuff we can ignore
[16:45.350 --> 16:48.150]  But we certainly can't ignore these four co2
[16:48.230 --> 16:53.910]  When I was a kid there's a there would have been three in this jar
[16:54.390 --> 16:58.430]  Now you know how old I am but old enough to remember when there was three in this jar
[16:58.430 --> 17:01.230]  And now we got this up to four and we're working
[17:01.950 --> 17:07.110]  Another 20 30 years we might get it up to five in the jar. That's that
[17:07.950 --> 17:14.830]  400 parts per million four in that jar, but it's a great visual demonstration of what's in them air I
[17:15.830 --> 17:20.870]  Suppose I could do this with some leaf and have these inside the leaf and in the air and
[17:21.190 --> 17:26.990]  Then you could even have them kind of falling out of the leaf to show transpiration rate, and it's probably a lot you could do with
[17:27.950 --> 17:32.430]  BBs from L's trophy or L's sporting goods. It's a great thing
[17:35.470 --> 17:41.230]  Now we want to switch a bit. Oh, let me another miscellaneous couple other miscellaneous things
[17:41.230 --> 17:44.310]  They're interesting this came up the other day a little bit
[17:46.150 --> 17:52.950]  Comfort box on a psychometric table. I'll look this up this here's the same psychometric chart. This is for the space station
[17:53.710 --> 17:59.270]  Humidity and temperature interact so they say we try to get in this box, and then people are comfortable
[17:59.790 --> 18:04.870]  And it varies a little bit with humidity so when when you do building control
[18:04.870 --> 18:09.550]  You try to arrange your humidity and temperature to be in the comfort box for the room
[18:10.430 --> 18:12.430]  It also came up the
[18:14.590 --> 18:16.590]  Effective pressure on
[18:17.870 --> 18:19.870]  This psychometric chart
[18:20.430 --> 18:22.430]  So I thought of a way to show this
[18:23.350 --> 18:25.350]  This is a psychometric chart
[18:25.950 --> 18:33.070]  For sea level I probably can zoom in just slightly on this and it looks exactly like the ones we handed out now
[18:33.070 --> 18:39.030]  This has other factors in here has enthalpy and things, but this is the chart for sea level now
[18:40.030 --> 18:41.790]  I made a
[18:41.790 --> 18:43.310]  transparency
[18:43.310 --> 18:45.310]  of the exact same chart
[18:45.910 --> 18:50.150]  For our elevation. I didn't make it. I looked it up and printed it
[18:50.670 --> 18:55.630]  so I'm gonna lay this on top of this and trying to line up the zeros and
[18:56.470 --> 19:01.310]  They look pretty close. They're not exact, but they're pretty close
[19:02.270 --> 19:04.270]  So when you look at these
[19:04.870 --> 19:08.460]  The
[19:09.060 --> 19:14.220]  Shift is like this as you go to high elevation
[19:15.300 --> 19:18.060]  this saturation curve shifts up and
[19:19.060 --> 19:25.900]  Here's 1500 meters, and here's sea level and I looked at the numbers for 28 C and
[19:27.100 --> 19:32.900]  the absolute humidity for 100% at 28 C at sea levels
[19:33.620 --> 19:34.940]  24.6 and
[19:35.020 --> 19:39.060]  In in Logan, it's 29 now. That's a big difference
[19:39.860 --> 19:41.860]  but after you
[19:42.540 --> 19:44.540]  divide for air pressure
[19:45.220 --> 19:52.980]  This number is 86% of that number and our pressure is 86% of sea level
[19:53.460 --> 19:54.500]  so
[19:54.500 --> 19:57.060]  When this chart is per kilogram
[19:57.420 --> 20:01.660]  It's a different chart everything shifted if this chart is
[20:02.540 --> 20:04.540]  saturation vapor pressure
[20:04.940 --> 20:06.940]  And you divide by pressure
[20:07.060 --> 20:12.220]  It's then it's the same chart. You don't need charts for elevation. They only differ when you have
[20:12.860 --> 20:15.420]  amount of water per weight of air
[20:16.260 --> 20:17.780]  not per
[20:17.780 --> 20:19.780]  volume of air
[20:19.820 --> 20:25.900]  You could see when the when the pressure is less that the air dilutes and it's the same amount of water.
[20:25.900 --> 20:27.900]  So
[20:27.900 --> 20:35.020]  That's why we simplify that whole chart to just do that saturation vapor pressure curve
[20:37.820 --> 20:39.820]  Now I want to talk about
[20:41.060 --> 20:43.060]  in closing
[20:44.460 --> 20:47.660]  Implementation of all of these principles we've been talking about in
[20:48.340 --> 20:50.340]  What's called the Penman-Monteith equation?
[20:51.340 --> 20:58.980]  We use this equation all the time to calculate evapotranspiration
[21:00.700 --> 21:07.140]  And I'm going to show you the equation and say how do these principles go into this equation to do this
[21:08.460 --> 21:09.940]  perhaps the
[21:09.940 --> 21:13.500]  best book for this is this book called
[21:14.700 --> 21:16.700]  Food and Agriculture
[21:16.820 --> 21:19.020]  Organization FAO 56
[21:20.020 --> 21:24.540]  Crop evapotranspiration guidelines for computing crop water
[21:25.340 --> 21:27.340]  requirements, so this is full of
[21:28.020 --> 21:31.660]  Step by step implementation of these principles. I can probably put this
[21:32.580 --> 21:34.580]  right here
[21:34.580 --> 21:37.140]  And it occurs to me that with this thing
[21:37.140 --> 21:44.540]  I could just open the pages and and show the pages instead I made some I copied some of the key graphs out of this
[21:46.700 --> 21:48.340]  Yes
[21:48.380 --> 21:55.260]  That this thank you and this the question is there's a website for this and and you can get the whole book on the web
[21:55.260 --> 22:01.100]  I think the book of paper copy costs quite a bit, but the website's free and yeah
[22:02.540 --> 22:04.540]  so
[22:04.940 --> 22:06.940]  Let's
[22:07.900 --> 22:09.900]  Jump right here to
[22:14.260 --> 22:16.260]  The Penman-Monteith
[22:19.340 --> 22:25.140]  Here it is I have to fold this to make it fit
[22:27.380 --> 22:29.540]  And I'm gonna zoom in just a bit
[22:32.500 --> 22:34.500]  So now we can I
[22:36.860 --> 22:39.580]  Could probably zoom in even more get this big
[22:41.260 --> 22:43.260]  So here's the Penman-Monteith
[22:43.980 --> 22:50.380]  Now this varies the coefficients vary depending on the units everything has units and
[22:51.100 --> 22:57.780]  In a rough sense if we took all these energy balance principles and rearrange the equation
[22:58.460 --> 23:00.460]  They would have a lot of
[23:00.620 --> 23:05.340]  Coefficients like this, but let's look at the difference so first of all this is with the units in here
[23:06.220 --> 23:08.220]  reference evapotranspiration
[23:08.260 --> 23:12.460]  Now what this means is the maximum you could get for the conditions
[23:12.860 --> 23:17.100]  In millimeters a day, so you could do that with this
[23:17.780 --> 23:20.700]  Then look at the next components net radiation
[23:21.500 --> 23:24.700]  Minus soil heat flux now we didn't put soil heat flux in here
[23:24.700 --> 23:30.620]  But it wouldn't be hard we could just say sums disappearing in the ground and sums coming back out of the ground
[23:31.340 --> 23:33.340]  So there's net radiation
[23:33.380 --> 23:36.420]  right front and center in this equation
[23:37.900 --> 23:41.360]  Then we go air temperature. That's let's jump to
[23:43.140 --> 23:47.180]  E-saturation minus E air so there's our leaf to air
[23:48.220 --> 23:54.260]  difference in this equation the rest of these coefficients without going into this in detail are
[23:55.140 --> 23:57.140]  units conversion to
[23:57.700 --> 24:00.220]  get this to net radiation and
[24:02.460 --> 24:09.820]  Resistance to water flow here's another key thing that people don't think about in this
[24:10.340 --> 24:15.140]  U is wind speed that's a universal symbol for wind speed
[24:16.220 --> 24:18.220]  This is in the numerator
[24:18.220 --> 24:20.660]  This is in the numerator as these get bigger
[24:21.140 --> 24:26.100]  Transpiration gets bigger look at wind speed. It's in both the numerator and the denominator
[24:27.180 --> 24:34.420]  Of this now we have wind speed is just up here. How's wind speed in the numerator and denominator?
[24:34.740 --> 24:36.740]  If
[24:37.060 --> 24:39.300]  You ask the question does wind
[24:40.180 --> 24:41.220]  increase
[24:41.220 --> 24:45.100]  Transpiration does wind increase transpiration true or false
[24:47.500 --> 24:49.500]  It depends
[24:51.220 --> 24:53.220]  There could be no change to
[24:53.500 --> 24:56.380]  That's a tricky question and in fact it turns out
[24:56.380 --> 25:03.140]  I've heard this was a part of a law case once with somebody suing somebody else over water rights and the wind
[25:05.300 --> 25:12.500]  If the leaf is already well watered and it's close to air temperature
[25:13.620 --> 25:15.620]  the wind will
[25:15.740 --> 25:19.980]  And it or if it's especially below air temperature the wind will definitely increase
[25:20.660 --> 25:26.060]  Transpiration by a lot because it's warm and the wind warms the leaf up because it's below air temperature
[25:26.780 --> 25:34.100]  And most of the time when we use this it's for well watered crops, and then wind does increase it, but now imagine
[25:34.500 --> 25:36.500]  a
[25:36.500 --> 25:43.180]  Cactus or some plant that's water stressed the leaves are 10 degrees C above air temperature
[25:43.820 --> 25:45.140]  transpirations
[25:45.140 --> 25:47.060]  minimal
[25:47.060 --> 25:52.220]  But the wind starts to blow the leaves cool off. There's a case where the wind could decrease
[25:52.900 --> 25:58.500]  Transpiration if the plants water stressed and and the wind helps cool the leaves down
[25:58.580 --> 26:03.340]  That's an exception, but it could happen and in intermediate cases
[26:03.340 --> 26:06.340]  You can kind of see that from here with a numerator and denominator
[26:07.140 --> 26:11.260]  Wind doesn't have as big of an effect on transpiration as most people think
[26:12.580 --> 26:15.420]  It it cools our skin
[26:15.900 --> 26:22.620]  Well, we're benefiting from both of these when when we're out, and we're hot and the wind breeze blows we cool off
[26:23.100 --> 26:27.100]  But in the case of water, we're only we're only worried about this
[26:27.260 --> 26:29.260]  So this book
[26:29.500 --> 26:31.500]  FAO 56
[26:32.100 --> 26:33.740]  includes
[26:33.740 --> 26:39.660]  this nice graph here figure 10 effective wind speed on this and
[26:41.060 --> 26:43.620]  Here's increasing wind speeds hot and dry
[26:44.140 --> 26:47.140]  It's helping but as it gets more humid
[26:47.540 --> 26:53.980]  That the effect here's a effective example of no effect of all and even this effect is not all that great
[26:53.980 --> 26:56.220]  This is not a real steep line
[26:57.420 --> 27:03.740]  So this is because wind affects it can cool off the leaves significantly
[27:07.020 --> 27:08.900]  This
[27:08.900 --> 27:11.300]  another useful figure from this
[27:12.340 --> 27:14.340]  here is an
[27:15.060 --> 27:17.060]  example of these components
[27:17.940 --> 27:19.940]  through the day
[27:20.620 --> 27:22.620]  We just talk about
[27:22.860 --> 27:25.340]  calculate examples right here at noon
[27:26.060 --> 27:27.180]  But
[27:27.180 --> 27:29.180]  Here's our evapotranspiration
[27:29.300 --> 27:31.780]  They show lambda for that symbol
[27:32.100 --> 27:39.660]  H is conduction and convection H is a common symbol for that and G is storage in the ground
[27:40.340 --> 27:46.340]  But there's the total and it's partitioned roughly equally into the two parts in this particular example
[27:46.740 --> 27:48.740]  Et was more than this
[27:49.260 --> 27:51.820]  In the mornings when it's cool
[27:52.820 --> 27:55.700]  Et can equal net radiation and then finally
[27:56.340 --> 28:00.820]  Transpiration can't keep up and then sense of then the leaves start to warm up
[28:02.100 --> 28:09.580]  But you can imagine scenarios like this where these the partitioning of these changes all over the place depending on water of the plants
[28:09.580 --> 28:12.740]  But it's a nice diagram of how that changes through the day
[28:13.660 --> 28:15.660]  so
[28:23.180 --> 28:25.180]  We
[28:25.500 --> 28:31.860]  Another important aspect of this that is often overlooked
[28:34.180 --> 28:36.180]  This calculates
[28:37.500 --> 28:40.700]  Et but now we have a
[28:42.380 --> 28:47.740]  Coefficient with this and as we've run these equations, it's et
[28:49.180 --> 28:55.100]  Zero or or o et o and o you can think about as optimum
[28:55.180 --> 28:58.140]  this is the maximum that could run and
[28:58.900 --> 29:05.580]  Everybody runs this equation and they calculate the maximum and they think that's what they got to irrigate with and that's the maximum
[29:05.580 --> 29:07.700]  Not the not the typical
[29:08.380 --> 29:12.860]  So we have all those components that we just showed in this
[29:13.660 --> 29:21.380]  Big honking equation measure with great precision with all of our instruments to get the inputs just right in this
[29:21.980 --> 29:23.980]  and then
[29:24.060 --> 29:26.060]  To estimate actual
[29:26.620 --> 29:28.620]  we multiply this by
[29:29.300 --> 29:35.820]  K and a lot of times it's shown as KC. That's a crop coefficient and it
[29:37.020 --> 29:42.140]  Changes with the amount of ground cover when the plants are little there's not much evapotranspiration
[29:42.460 --> 29:44.460]  They fill in this goes up
[29:44.700 --> 29:51.220]  So this and this number varies from zero and I've seen it as high as one point two
[29:51.340 --> 29:53.340]  And actually can go above one
[29:53.580 --> 30:00.780]  Which says something about whether this is really the optimal because the crop coefficient is even higher than the optimal
[30:02.300 --> 30:09.180]  This is a very coarse estimate of the water so even if we get this
[30:10.020 --> 30:14.220]  To three significant digits with the most precise instruments ever
[30:14.580 --> 30:20.100]  We got to multiply it by this which at best is plus or minus 10 percent maybe 20 percent
[30:20.220 --> 30:22.220]  So this and then this
[30:22.580 --> 30:24.100]  equals
[30:24.100 --> 30:26.100]  ET of
[30:26.100 --> 30:30.740]  the C of the crop of the actual crop
[30:31.940 --> 30:33.540]  and
[30:33.540 --> 30:35.380]  Not many people think about this
[30:35.380 --> 30:42.700]  we take a number that we're trying to get super precise and we multiply it by really kind of a ballpark estimate and
[30:43.100 --> 30:46.460]  That leads to a lot of people really over irrigating
[30:47.220 --> 30:49.220]  in the implementation of this
[30:50.780 --> 30:52.780]  This is
[30:53.140 --> 30:56.900]  This is a here's a diagram of that in this book of the
[30:57.780 --> 31:03.180]  Reference crop ETO and then you multiply by this factor to get ET of the crop
[31:04.740 --> 31:06.660]  And then
[31:06.660 --> 31:12.540]  Because plants aren't always well watered even with all of this. This is still for well watered then we try
[31:14.460 --> 31:17.740]  Might show this down here back out just a bit
[31:18.500 --> 31:24.300]  Then we try to put an adjustment factor in here for how water stress they are
[31:24.500 --> 31:29.220]  So we have two fudge factors on this precisely measured ET
[31:29.420 --> 31:36.300]  The crop coefficient and then the what this is really a water stress coefficient and we get the crop coefficient adjusted
[31:36.300 --> 31:38.780]  Oh boy by the time we get to this one
[31:39.620 --> 31:47.020]  Where it's kind of like spray and pray you're hoping you got it in the ballpark for irrigation and meanwhile. We're running out of water so
[31:48.740 --> 31:52.980]  There's there's a lot of potential to calculate water I
