[00:01.080 --> 00:07.360]  I'm Bruce Bugbee, president of Apogee Instruments, and I want to talk today
[05:32.040 --> 05:58.040]  This works beautifully in sun and shade outside. But when we move to LEDs with varying ratios of red and green and blue radiation, I will show you the data, this breaks down. And we have some good ideas of why it breaks down. But this is not as good a predictor of plant shape.
[05:59.040 --> 06:21.040]  Here is four people that have studied this ratio. Now, this, let's take Butler, 1964. He was the first. These are weighting factors. Here's 400 nanometers. Here's 700 nanometers. And here's our ratio again, right here.
[06:21.040 --> 06:44.040]  Here's PFR right there. So it sums up all these photons with a spectroradiometer and it puts it in the numerator. It also sums up phytochrome red and puts that, adds it together, and the sum of those two is the denominator.
[06:45.040 --> 07:07.040]  That's how this works. It sums all the wavelengths, which is terrific. But Butler was one of the first to do this. And here's Butler's picture here, 1964. This is well before computers. So imagine the work he did. It's very pioneering to get these weighting factors.
[07:07.040 --> 07:27.040]  Along comes Pratt and Briggs. And here's a picture of Pratt right here. 1982, he contributed weighting factors to Gary Gardner, who is at the University of Minnesota. He's still working.
[07:27.040 --> 07:39.040]  He made these weighting factors. We'll come back to this, but these weighting factors are different than Butler's, so we don't have universal agreements for weighting factors to get this.
[07:39.040 --> 07:58.040]  A few years pass. This is hot. Kelly and Ligarius, 1985, come up with a different set of weighting factors. And then finally, 1988, John Sager. Here's a picture of John. Yet a different set of weighting factors.
[07:58.040 --> 08:17.040]  All of these people had to use tissue with no chlorophyll. This was usually oat seedlings grown in the dark, so there was no chlorophyll in order to make these measurements. But the weighting factors are slightly different. Let's take a look.
[08:17.040 --> 08:36.040]  Here's blue. Gardner and Graceffo's weighting factors, minimal weighting factors for blue light. A little bit more for here. And Kelly and Ligarius and Sager have slightly more. Note that this doesn't get big until ultraviolet light.
[08:36.040 --> 08:54.040]  This part right here and this part right here, these are UV photons. People often say heavily influenced by blue, but a careful inspection really should say heavily influenced by UVA radiation.
[08:54.040 --> 09:08.040]  So the blue responses are different. Here's red. Far red, far red. These are somewhat different in terms of how much they cut off. These two are quite similar.
[09:08.040 --> 09:30.040]  In the literature, in the horticulture literature, people cite Sager and use Sager's weighting factors. And his papers are very clearly written. He has nice tables of weighting factors. In the plant physiology and often the ecology literature, people cite Kelly and Ligarius's weighting factors.
[09:30.040 --> 09:49.040]  So there's not universal agreement on this. You would think this is a horrible mess. We have numbers all over the place. It turns out these four curves are close enough. The values don't differ that much. And as long as you pick one and stick with it, you can measure relative effects.
[09:49.040 --> 10:16.040]  But this is the background, the complicated background for how we came to have phytochrome photoequilibria. Here's the problem. These were measured with no chlorophyll. Phytochrome is inside the phytochrome molecules inside a leaf, and it is covered with chlorophyll all around it, shaded by chlorophyll.
[10:16.040 --> 10:36.040]  And we make these measurements above the plants, and we're using that to predict inside the plants. Even Harry Smith cautioned against using this for complicated light sources because of shading by chlorophyll of the pigments.
[10:36.040 --> 10:57.040]  Now I'm going to show you a slide made by Paul Kusuma that brilliantly explains this. Here's a leaf. Take this section. You can see the cells in here. Now let's blow this up. Here's a single cell. The nucleus, this is the vacuo over here.
[10:58.040 --> 11:21.040]  Get vacuo over here. I've got to turn my pen on. There we go. Nucleus. In the cytoplasm are all of these phytochrome molecules, and they look like this. If you can imagine a person, when their arms are down, it's inactive. When their arms go up, it's active.
[11:21.040 --> 11:41.040]  So here's some active molecules. When the light spectra changes, it hits these, and they move up here to the nucleus and interact with the nucleus and cause the photobiological effects that we see. This is a wonderful story. Beautiful. We understand it. Here's the problem.
[11:41.040 --> 11:57.040]  Now we add chlorophyll and more chlorophyll. That's a lot of chlorophyll. That phytochrome pigment is buried underneath a massive amount of chlorophyll, and we don't fully understand the wavelengths that it sees.
[11:57.040 --> 12:13.040]  We're working on this. Paul's got some excellent ideas of how we're going to do this to predict what phytochrome sees, but it's still going to take a spectroradiometer.
[12:13.040 --> 12:40.040]  Now, you can pause this and study these. This is a list for academic, for good scholarship. This is a list of the papers that I just talked about. Butler, Pratt, Gardner, Kelly, Sager. These are citations where people have used PPE successfully, but these papers only varied red and far red.
[12:40.040 --> 12:57.040]  They didn't vary green and blue. Because of this, and I can pause this and write these down if you want to see them. Because of this, Paul and I designed a study to test this hypothesis, and here's what we did.
[12:57.040 --> 13:19.040]  There were six growth chambers, all matching, very carefully matched. In this one, we had a background of blue. Now, this is a cool white LED, very dominant in the blue, and we added far red to it. So there's plus and minus far red in this chamber.
[13:19.040 --> 13:39.040]  To get high green, there's not efficient green LEDs, so we used a high-pressure sodium, and we had plus and minus far red with the green background, and plus and minus far red with the red background. Here's the red in every case.
[13:39.040 --> 14:06.040]  The reds were the same percentage in all these chambers, so there's six treatments here. Here's the plants. Not surprisingly, we've now done this with multiple species, but the most reproducible and the most sensitive is cucumbers. Not surprisingly, when we add far red, it gets taller. Here they are, taller.
[14:06.040 --> 14:22.040]  Now, can we predict stem elongation in all of these treatments with phytochrome photoequilibrium measurements? If that works, it will explain all of these treatments. Let's take a look at the data.
[14:22.040 --> 14:51.040]  Here's Professor Smith's original graph. Nice. Here's the same phytochrome photoequilibrium. The data scatters. The chamber with high blue, all of them slope down, but they have big offsets. And you can see from this data, you can't predict, this is all stem elongation, you can't predict stem elongation from PPE, because it varies with the background.
[14:51.040 --> 15:14.040]  It varies with the background color. What if we took a simpler measurement and we only did percent far red, that original ratio in the first section? What does that look like? Here it is. Percent far red. Far red photons divided by total. Wow.
[15:14.040 --> 15:30.040]  The lines converge. They're not perfect, but we've got a much better estimation of stem elongation than we did from the more complicated phytochrome photoequilibrium measurement.
[15:30.040 --> 15:56.040]  We've now reproduced this with other species and shown this percent far red does an impressive job of predicting leaf area and stem elongation. And it's real intuitive. And you tell anybody, the PPE went from 0.76 to 0.84, and that's hard to know how much far red was in there. But you say it went from 1 to 10%.
[15:57.040 --> 16:22.040]  Anyone can understand that. It's a wonderfully intuitive ratio. Great. So now we're going to have far red sensors and quantum sensors and add them up in a computer. That's more complicated. Because of this, Apogee has developed a sensor with two detectors, one for a quantum sensor and one for far red.
[16:23.040 --> 16:46.040]  Here's the sensor. There's two. Let's talk about this one first. This has two detectors inside in here. One's quantum. So this one does PPFD, the classic square wave PPFD that's in all Apogee sensors. Sharp cutoffs at the edges.
[16:46.040 --> 17:13.040]  In addition to this, there's a far red detector here. So it separately measures the two colors and then adds them together in software. So you get all combinations. You get individuals. You can do ratios. But again, from this sensor, what we're after is far red over PPFD plus far red. And that becomes a number between 0 and 1.
[17:16.040 --> 17:29.040]  For 40 years, we have also measured red and far red ratios because there are big peaks in phytochrome in red light.
[17:30.040 --> 17:41.040]  These sensors have been available for a long time. They're widely used in the literature. Apogee also has a red far red sensor and these two peaks look like this.
[17:41.040 --> 18:06.040]  This is a beautiful sensor for reproducing studies in ecology, anything outside under sun. It's great. But when we start to move to LEDs with their varied backgrounds, we need to upgrade to this sensor, which Apogee calls this the PAR-FAR sensor because of the PAR and the FAR.
[18:07.040 --> 18:31.040]  So this is a simple explanation of why this ratio is so important. And it's wonderfully simple. And we plan to express our data as percent far red in our studies to help explain these effects on plant morphology.
[18:32.040 --> 18:48.040]  And one more thing. We get asked a lot about how these photobiological ratios apply to cannabis. The good news is that my laboratory has a state license to study cannabis.
[18:48.040 --> 19:12.040]  So we've applied these ratios to predict cannabis growth and they have the same value in cannabis as they do in all other crop plants. Adding far red is both good and bad. And that's why the sensor is so important. You want to add the right amount at the right time to get full advantage of it.
[19:12.040 --> 19:28.040]  More far red can make cannabis plants taller. That's usually bad. But it also helps expand leaves. That's good. And there's evidence it can help with slightly earlier flowering, which is another benefit.
[19:28.040 --> 19:45.040]  So this is emerging research. The important point here is that you need to have a sensor to see what you have. And if you have far red, you can use the sensor to dial it in and optimize it for the plants. Thanks.
